이름,팀,생년월일,경기수
김진성,lg,1985-03-07,80
유영찬,lg,1997-03-07,67
정우영,lg,1999-08-19,60
함덕주,lg,1995-01-13,57
박명근,lg,2004-03-27,57
최동환,lg,1989-09-19,45
고우석,lg,1998-08-06,44
백승현,lg,1995-05-26,42
이우찬,lg,1992-08-04,38
이정용,lg,1996-03-26,37
켈리,lg,1989-10-04,30
임찬규,lg,1992-11-20,30
이지강,lg,1999-07-02,22
플럿코,lg,1991-10-03,21
진해수,lg,1986-06-26,19
김윤식,lg,2000-04-03,17
최원태,"키움, lg",1997-01-07,9
김명신,두산,1993-11-29,70
정철원,두산,1999-03-27,67
홍건희,두산,1992-09-29,64
박치국,두산,1998-03-10,62
이영하,두산,1997-11-01,36
이병헌,두산,2003-06-04,36
최승용,두산,2001-05-11,34
김강률,두산,1988-08-28,32
알칸타라,두산,1992-12-04,31
최원준,두산,1994-12-21,26
박정수,두산,1996-01-29,25
최지강,두산,2001-07-23,25
곽빈,두산,1999-05-28,23
이형범,두산,1994-02-27,23
브랜든,두산,1994-06-03,18
김동주,두산,2002-02-14,18
박신지,두산,1999-07-16,15
장원준,두산,1985-07-31,11
고봉재,두산,1993-05-14,10
김태훈,삼성,1992-03-02,63
이승현,삼성,1991-11-20,60
오승환,삼성,1982-07-15,58
우규민,삼성,1985-01-21,56
이재익,삼성,1994-03-18,51
이승현,삼성,2002-05-19,48
김대우,삼성,1988-11-21,44
홍정우,삼성,1996-03-16,36
뷰캐넌,삼성,1989-05-11,30
원태인,삼성,2000-04-06,26
이상민,삼성,1990-11-04,23
최지광,삼성,1998-03-13,22
수아레즈,삼성,1989-10-08,19
백정현,삼성,1987-07-13,18
장필준,삼성,1988-04-08,17
노건우,삼성,1989-10-22,16
최채흥,삼성,1995-01-22,15
양창섭,삼성,1999-09-22,15
문용익,삼성,1995-02-04,14
와이드너,"삼성, NC",1994-10-24,10
류진욱,NC,1996-10-10,70
임정호,NC,1990-04-16,65
김영규,NC,2000-02-10,63
김시훈,NC,1999-02-24,61
이용찬,NC,1989-01-02,60
하준영,NC,1999-09-06,57
송명기,NC,2000-08-09,35
조민석,NC,1998-12-21,35
페디,NC,1993-02-25,30
신민혁,NC,1999-02-04,29
이용준,NC,2002-05-08,24
김진호,NC,1998-06-07,19
최성영,NC,1997-04-28,18
이준호,NC,2000-03-27,17
김태현,NC,1998-03-21,16
이재학,NC,1990-10-04,15
태너,NC,1994-11-30,11
와이드너,"삼성, NC",1994-10-24,11
구창모,NC,1997-02-17,11
한재승,NC,2001-11-21,11
김재웅,키움,1998-10-22,67
하영민,키움,1995-05-07,57
김성진,키움,1997-11-14,55
양현,키움,1992-08-23,54
임창민,키움,1985-08-25,51
이명종,키움,2002-12-05,45
김동혁,키움,2001-12-27,35
문성현,키움,1991-11-09,32
후라도,키움,1996-01-30,30
안우진,키움,1999-08-30,24
장재영,키움,2002-05-10,23
윤석원,키움,2003-07-04,21
원종현,키움,1987-07-31,20
박승주,키움,1994-02-12,18
최원태,"키움, lg",1997-01-07,17
김선기,키움,1991-09-01,17
정찬헌,키움,1990-01-26,14
요키시,키움,1989-07-29,12
맥키니,키움,1994-11-18,12
주승우,키움,2000-01-30,11
오상원,키움,2004-07-21,11
이종민,키움,2001-06-04,11
박영현,KT,2003-10-11,68
손동현,KT,2001-01-23,64
김재윤,KT,1990-09-16,59
주권,KT,1995-01-31,42
이상동,KT,1995-11-24,36
김영현,KT,2002-08-18,31
벤자민,KT,1993-07-26,29
고영표,KT,1991-09-16,28
배제성,KT,1996-09-29,26
이채호,KT,1998-11-23,25
이선우,KT,2000-09-19,22
엄상백,KT,1996-10-24,10
쿠에바스,KT,1990-10-14,18
조이현,KT,1995-06-27,18
김민,KT,1999-04-14,16
박세진,KT,1997-06-27,16
전용주,KT,2000-02-12,15
김민수,KT,1992-07-24,14
하준호,KT,1989-04-29,12
슐서,KT,1994-05-05,9
임기영,KIA,1993-04-16,64
전상현,KIA,1996-04-18,64
이준영,KIA,1992-08-10,64
최지민,KIA,2003-09-10,58
장현식,KIA,1995-02-24,56
정해영,KIA,2001-08-23,52
김대유,KIA,1991-05-08,41
박준표,KIA,1992-06-26,33
윤중현,KIA,1995-04-25,31
양현종,KIA,1988-03-01,29
김기훈,KIA,2000-01-03,29
이의리,KIA,2002-06-16,28
김유신,KIA,1992-07-09,27
윤영철,KIA,2004-04-20,25
파노니,KIA,1994-04-28,16
앤더슨,KIA,1994-10-29,14
곽도규,KIA,2004-04-12,14
황동하,KIA,2002-07-30,13
산체스,KIA,1994-10-31,12
메디나,KIA,1996-12-18,12
구승민,롯데,1990-06-12,67
김상수,롯데,1988-01-02,66
김원중,롯데,1993-06-14,63
김진욱,롯데,2002-07-05,50
최준용,롯데,2001-10-10,47
한현희,롯데,1993-06-25,38
김도규,롯데,1998-07-11,36
신정락,롯데,1987-05-13,34
반즈,롯데,1995-10-01,30
심재민,롯데,1994-02-18,29
최이준,롯데,1999-04-10,28
박세웅,롯데,1995-11-30,27
진승현,롯데,2003-09-05,24
나균안,롯데,1998-03-16,23
윤명준,롯데,1989-06-18,21
스트레일리,롯데,1988-12-01,16
이태연,롯데,2004-02-21,15
윌커슨,롯데,1989-05-24,13
정성종,롯데,1995-11-16,12
이인복,롯데,1991-06-18,10
김범수,한화,1995-10-03,76
박상원,한화,1994-09-09,55
주현상,한화,1992-08-10,55
정우람,한화,1985-06-01,52
이태양,한화,1990-07-03,50
한승주,한화,2001-03-17,47
윤대경,한화,1994-04-09,47
강재민,한화,1997-04-03,43
장시환,한화,1987-11-01,39
김기중,한화,2002-11-16,37
페냐,한화,1990-01-25,32
장민재,한화,1990-03-19,25
산체스,한화,1997-04-11,24
문동주,한화,2003-12-23,23
김규연,한화,2002-08-23,23
한승혁,한화,1993-01-03,21
김서현,한화,2004-05-31,20
이민우,한화,1993-02-09,17
남지민,한화,2001-02-12,16
김민우,한화,1995-07-25,12
이충우,한화,1994-09-20,11
노경은,SSG,1984-03-11,76
고효준,SSG,1983-02-08,73
서진용,SSG,1992-10-02,69
최민준,SSG,1999-06-11,53
문승원,SSG,1989-11-28,50
이로운,SSG,2004-09-11,50
임준섭,SSG,1989-07-16,41
김광현,SSG,1988-07-22,30
오원석,SSG,2001-04-23,28
이건욱,SSG,1995-02-13,27
백승건,SSG,2000-10-29,25
맥카티,SSG,1995-10-12,24
엘리아스,SSG,1988-08-01,22
박종훈,SSG,1991-08-13,18
송영진,SSG,2004-05-28,17
신헌민,SSG,2002-07-19,11
박민호,SSG,1992-02-25,10
